AgentID,AgentLabel,SuperSpreader,SuperFriend,GeneralInfluencer,EigenvectorCentrality,
55657219,mami_noodles,0.005,0,0.018,7.849e-04,
934969971808935936,ImToughoneYan,0.005,0,0.007,7.849e-04,
492774653,LauraCherubs,0.005,0,0.018,7.849e-04,
1330136412121862150,betylaf35928074,0.005,0,0.018,7.849e-04,
1155060346521968640,GS5913,0.018,0,0.012,0.001,
59119716,cyberdean07,0.005,0,0.019,7.849e-04,
1501633019001843712,GilCaliwliw,0.017,0,0.026,7.859e-04,
1074099097026519041,Aerognarly,0.005,0,0.018,7.849e-04,
738429646887211008,bluesapphire915,0.011,0,0.021,0.002,
1257976454752559106,JosephineZJR76,0.005,0,0.018,7.849e-04,
1304708750457012227,Sweet_30192717,0.005,0,0.018,7.849e-04,
1202181788803596288,Shekina58646987,0.005,0,0.018,7.849e-04,
173146521,neogem5,0.005,0,0.019,7.849e-04,
820242091733200896,JPCunningham10,0.005,0,0.022,7.849e-04,
1511852449388285952,FUTURETRON10,0.005,0,0.003,0,
2181642090,Lpecasales,0.005,0,0.018,7.849e-04,
779910552,just_chamie,0.005,0,0.018,7.849e-04,
3194592704,USNavyCNO,0.007,0,0.009,0.002,
18144581,USNorthernCmd,0.056,0,0.017,3.737e-04,
1469825634788683778,crazyxgif,0.005,0,0.009,3.737e-04,
1482677670261686273,jame83710432,0.011,0,0.038,0.002,
120154868,jefeblack,0.005,0,0.012,0.006,
1083407707028238342,NORADCommand,0.064,0.500,0.089,0.002,
4884200431,Desimond42,0.005,0,0.009,3.737e-04,
2897062860,santode56,0.005,0,0.005,0.001,
1204242402103267328,USAmbThailand,0.020,0,0.007,0.002,
612397643,sflore83,0.024,0,0.076,0.006,
361538330,QDuddly,0.005,0,0.009,3.737e-04,
891863518894592001,CherylKimNYC,0.005,0,0.009,3.737e-04,
3293974612,cle4ayere,0.011,0,0.020,0.001,
1280223775481626631,AnitaNa91552117,0.005,0,0.009,3.737e-04,
882784867,westieTX,0.005,0,0.011,3.737e-04,
298244970,zero2152,0.054,0,0.168,0.073,
1243953799468732416,Akiko_M_DT,0.005,0,0.046,0.010,
714010521817645056,9W2YVN,0.005,0,0.011,0.006,
1498048308010536960,USArmySarah,0.005,0,0.045,0.011,
1350896789583368194,OKAMOTO408,0.005,0,0.046,0.010,
1344205880905007110,Kitaro_Oyazzy,0.011,0,0.058,0.018,
1376533330141704192,BGhesQ0SqKqXqfO,0.005,0,0.046,0.010,
816785462681542656,LanceConner27,0.005,0,0.011,0.006,
3231141349,kyotosal,0.005,0,0.006,0.001,
1475343749849153538,hodaka_take218,0.005,0,0.046,0.010,
996635039512252416,Jamesx70X,0.005,0,0.007,5.326e-05,
1557995564,edwin_icaro31,0.005,0,0.011,0.006,
1199458907313360896,Samuel_XL5,0.024,0,0.064,0.033,
2591408232,kaiseiuchida3,0.005,0,0.046,0.010,
2952411097,yasuhito_0722,0.102,0,0.313,0.118,
4900928924,rapisu25fumi231,0.011,0,0.035,0.016,
2446465550,RafDungca,0.005,0,0.026,7.010e-05,
15448383,inquirerdotnet,0.052,0,0.029,7.010e-05,
265814534,JGSDF_pr,0.133,0,0.055,0.020,
2878932553,kingnavy93,0.005,0,0.033,0.010,
1212716054008356864,ABE17806370,0.005,0,0.007,1.187e-04,
1657851374,9AX0GSRT,0.011,0,0.047,0.018,
761424823926923266,2020_victory,0.005,0,0.034,0.008,
1295299885248389123,BOSS_1105_,0.011,0,0.044,0.014,
1497516918382628867,mquintero2030,0.017,0,0.082,0.023,
148642047,CONBATSAN,0.005,0,0.052,0.005,
1025513274,roseoshar7,0.005,0,0.033,0.010,
1455562738357444625,ASD_IndoPacific,0.017,0,0.060,0.010,
1180151818027966465,TruthColombia,0.005,0,0.033,0.010,
122362854,BJ246,0.005,0,0.052,0.005,
1172106776646279168,ABranger_wife,0.050,0,0.164,0.051,
1410210535883243520,jdnvnt619z,0.005,0,0.034,0.008,
1114042348403478528,koji_tkrdkr,0.005,0,0.052,0.005,
70560147,142Countries,0.011,0,0.052,0.018,
2616801380,mokei1968,0.017,0,0.064,0.027,
602999744,ThePrimeJesse,0.011,0,0.074,0.016,
1418396786473934854,SjZz0,0.011,0,0.050,0.011,
49732748,tofogfan,0.036,0,0.126,0.047,
878433890838265856,jz60378,0.005,0,0.033,0.010,
2543309396,Koizumi01,0.005,0,0.033,0.010,
2502805669,FireandAviation,0.005,0,0.033,0.010,
858042162860183552,AliciaLisaGrag2,0.030,0,0.113,0.026,
1386734704854896641,Noclue420,0.011,0,0.036,0.006,
71032085,WillKlaver,0.024,0,0.076,0.025,
537959237,georgetsimaras,0.011,0,0.065,0.012,
1096475470072184832,CindyWs9,0.011,0,0.059,0.016,
1410989402633891844,dnvn619,0.005,0,0.034,0.008,
1477310174,ae86fcmvf4ageu,0.005,0,0.028,0.003,
512339681,dn12005,0.005,0,0.034,0.008,
1394060181206614019,AsherQuantum,0.005,0,0.026,0.002,
773551993004646401,vacha_dalibor,0.005,0,0.034,0.008,
2210194536,SMLkitakomenews,0.024,0,0.074,0.021,
1297519387222708225,IndexStudio2,0.005,0,0.034,0.008,
128249268,JFIFUDHDVHDJZUH,0.011,0,0.049,0.016,
373790032,2020ReasonLee,0.011,0,0.049,0.012,
164676451,ft555,0.017,0,0.082,0.021,
140037241,guts_ya,0.017,0,0.019,3.562e-04,
1511772062389481478,JamesEd38730515,0.005,0,0.028,0.003,
1504287528320339968,jdnvn999,0.005,0,0.028,0.003,
1081840114828017664,4n4lisis,0.005,0,0.035,0.008,
894221184514088960,Andy007_SR_A,0.005,0,0.038,0.008,
3336783988,yewei199242,0.005,0,0.027,0.003,
514005773,ValoriBluDule,0.005,0,0.034,0.008,
